season,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,POSTSEASON,SEED,free_throw_pct,three_point_pct,roster_experience_years
2026,Stanford,ACC,32,20,116.9436389749038,104.11187270054774,0.7919302444688134,,,,,,,,,,,,,,,67.03176934278406,-0.978363352150371,,,,,
2026,Arizona St.,B12,33,17,115.21233127567989,102.636563321176,0.7907081590132782,,,,,,,,,,,,,,,69.25721657475214,-0.9230818302557876,,,,,
2026,Mississippi,SEC,35,15,114.24809967029832,101.88710663395716,0.7886538893546446,,,,,,,,,,,,,,,66.14827179734239,-4.213558599217253,,,,,
2026,Tulsa,Amer,35,28,120.82506315520672,107.8150917921661,0.7875382681652789,,,,,,,,,,,,,,,67.70453605385693,-0.694851915871608,,,,,
2026,West Virginia,B12,32,18,108.56046905838848,96.95097669945612,0.7859479945653881,,,,,,,,,,,,,,,62.507682298568206,-1.9075654057064788,,,,,
2026,Dayton,A10,36,25,112.23661136510675,100.28290795535874,0.7850025318537112,,,,,,,,,,,,,,,66.77529647109446,-1.098171428480749,,,,,
2026,USC,B10,32,18,113.435612246809,101.7888992593299,0.7765797454008748,,,,,,,,,,,,,,,70.77501686283637,-0.6408264132409351,,,,,
2026,McNeese St.,Slnd,34,28,113.67594988744514,102.10489459381172,0.774611968167468,,,,,,,,,,,,,,,66.0287898160032,0.8800794730835462,,,,,
2026,LSU,SEC,32,15,119.1045990916278,107.0437620293567,0.7734315413334518,,,,,,,,,,,,,,,66.67559829533985,-4.220214213866704,,,,,
2026,Butler,BE,32,16,117.47125931678606,105.604803200698,0.7728778857605295,,,,,,,,,,,,,,,68.93025418245102,-3.9032001596834673,,,,,
2026,California,ACC,34,22,114.43558328132602,103.28222424059608,0.7648197773119237,,,,,,,,,,,,,,,67.95406555189685,-0.7396877376991625,,,,,
2026,Providence,BE,33,15,121.02034061738952,109.24612845807766,0.7644233207850719,,,,,,,,,,,,,,,71.36294892083164,-4.756164256084253,,,,,
2026,Akron,MAC,35,29,117.81239490069672,106.3579515189515,0.7642740560794611,,,,,,,,,,,,,,,70.20029495214628,-0.0991142872016765,,,,,
2026,Wake Forest,ACC,35,18,117.90619460031016,106.55313080440364,0.7621176046519464,,,,,,,,,,,,,,,68.35486643360511,-3.02199735721061,,,,,
2026,Marquette,BE,32,12,111.94618052783493,101.26730696332004,0.7600453043676956,,,,,,,,,,,,,,,69.24786817472764,-7.070694825619192,,,,,
2026,Georgetown,BE,34,16,114.2662492710666,103.4526955129582,0.7582837300625329,,,,,,,,,,,,,,,66.25067125973034,-4.528147179569966,,,,,
2026,Nevada,MWC,36,24,114.51426622833807,103.72526857093509,0.757306189568178,,,,,,,,,,,,,,,66.05269319238857,-1.6707289100754623,,,,,
2026,Wichita St.,Amer,35,24,111.84793507943468,101.32101327136228,0.7570794203470146,,,,,,,,,,,,,,,66.59765221953539,-3.552694961135571,,,,,
2026,Northern Iowa,MVC,36,23,109.62786473205742,99.40839156387564,0.7549766070162847,,,,,,,,,,,,,,,62.169032514869706,-5.208104203830873,,,,,
2026,Colorado,B12,32,17,118.06666438009152,107.22644788481183,0.7516673255367053,,,,,,,,,,,,,,,68.63807595635997,-2.6914320451532796,,,,,
2026,Belmont,MVC,32,26,120.00486324150842,109.27071993420223,0.7460383364617019,,,,,,,,,,,,,,,68.99379779470854,-0.5679869491560227,,,,,
2026,George Washington,A10,35,19,117.49163726474232,106.98421023024278,0.7459993469762738,,,,,,,,,,,,,,,69.17846117967231,-7.255904193468786,,,,,
2026,Syracuse,ACC,32,15,114.99340274891593,105.14656754443072,0.7368139580335663,,,,,,,,,,,,,,,67.41444835550512,-4.5592508362090465,,,,,
2026,Creighton,BE,32,15,115.07025614094522,105.3184892628356,0.7346548872886313,,,,,,,,,,,,,,,67.39124190063967,-3.702623096440133,,,,,
2026,Oklahoma St.,B12,35,20,118.3923628659017,108.49542364190368,0.7318259641465759,,,,,,,,,,,,,,,72.38532439142976,-0.6665510321619746,,,,,
2026,High Point,BSth,36,31,116.65099350841916,107.0332641910461,0.7289968098686463,,,,,,,,,,,,,,,70.00962705427119,-1.2541726204134989,,,,,
2026,Miami OH,MAC,34,32,116.99014187268388,107.75678979787097,0.720198958877258,,,,,,,,,,,,,,,69.68104780276987,2.5888786488472375,,,,,
2026,Stephen F. Austin,Slnd,34,28,112.73360316010078,104.08815022326272,0.7145483766801087,,,,,,,,,,,,,,,65.83790885820444,-0.6727119706528885,,,,,
2026,Hofstra,CAA,35,24,113.40978432547804,104.8307412185846,0.7118932690056106,,,,,,,,,,,,,,,64.69821232546906,-4.454041545635459,,,,,
