team,last5_margin,last10_margin,last5_winpct
Oregon St.,-7.4,-1.8,0.4
Ottawa (AZ),-34.0,-34.0,0.0
Our Lady of the Lake,-44.0,-44.0,0.0
Ozark Christian,-56.0,-56.0,0.0
Pacific,-4.2,-8.4,0.4
Pacific Lutheran,-22.0,-22.0,0.0
Pacific Union,-56.0,-56.0,0.0
PacificHawaii,12.0,12.0,1.0
Paine,-75.0,-75.0,0.0
Park (AZ),-10.0,-10.0,0.0
Paul Quinn,-36.0,-36.0,0.0
Paul Smiths,-49.0,-49.0,0.0
Penn,11.4,7.0,1.0
Penn St.,-15.2,-15.0,0.0
Penn St. Brandywine,-34.0,-34.0,0.0
Penn St.-Abington,-45.5,-45.5,0.0
Penn St.-Behrend,-29.0,-29.0,0.0
Penn St.-Hazleton,-9.0,-9.0,0.0
Penn St.-New Kens.,-50.0,-50.0,0.0
Penn St.-Shenango,-60.8,-60.75,0.0
Penn State York,-21.0,-21.0,0.0
Pensacola Christian,-65.0,-65.0,0.0
Pepperdine,-1.4,-1.8,0.4
Peru St.,-48.0,-48.0,0.0
Pfeiffer,-52.5,-52.5,0.0
Piedmont,-12.0,-12.0,0.0
Pitt.-Greensburg,-24.0,-24.0,0.0
Pittsburgh,-3.2,1.6,0.6
Plattsburgh St.,-51.0,-51.0,0.0
Point,-51.0,-51.0,0.0
Portland,-2.6,-6.0,0.6
Portland St.,6.4,1.4,0.6
Prairie View A&M,11.0,12.8,1.0
Presbyterian,0.8,-1.6,0.4
Princeton,-2.0,-5.0,0.4
Principia,-81.0,-81.0,0.0
Providence,-1.4,-4.6,0.4
Puget Sound,-54.0,-54.0,0.0
Purdue,10.8,4.2,0.8
Purdue Fort Wayne,-1.6,-3.2,0.4
Queens,6.4,6.4,1.0
Quinnipiac,0.4,-2.6,0.4
RIT,-13.0,-13.0,0.0
Radford,-6.4,0.2,0.2
Randolph,-40.0,-40.0,0.0
Redlands,-6.0,-6.0,0.0
Regent,-55.5,-55.5,0.0
Regis (MA),-22.0,-22.0,0.0
Regis CO,-41.0,-41.0,0.0
Reinhardt,-55.5,-55.5,0.0
Rhode Island,-4.8,-6.0,0.2
Rhodes,-37.5,-37.5,0.0
Rice,3.2,-2.8,0.6
Richmond,-5.0,-2.6,0.0
Rider,-13.8,-9.8,0.2
Ripon,-20.0,-20.0,0.0
Rivier,-52.0,-52.0,0.0
Robert Morris,7.4,10.4,0.6
Roberts Wesleyan,-43.0,-43.0,0.0
Rockford,-45.0,-45.0,0.0
Rosemont,-47.0,-47.0,0.0
Rowan,-47.0,-47.0,0.0
Rust,-33.0,-33.0,0.0
Rutgers,-0.8,0.8,0.6
Rutgers-Camden,-39.0,-39.0,0.0
S'western Adventist,-53.8,-51.6667,0.0
SIU Edwardsville,12.4,0.8,0.6
SMU,2.6,-5.6,0.4
