Team,SU,ATS,avg_points_for,avg_points_against,avg_points_for_ha,avg_points_against_ha,ROff,RDef,last_5_wins,date
UNM,22-8,15-14-0,80.4,70.1,76.5,69.8,7.9,24.3,3,2026-03-07
URI,16-14,13-17-0,70.9,68.5,68.0,72.1,8.0,19.1,2,2026-03-07
USC,18-12,13-16-0,78.9,77.4,82.6,76.6,10.5,24.8,0,2026-03-07
USM,18-15,16-15-0,74.5,73.8,72.5,78.7,9.2,23.2,4,2026-03-07
USU,24-6,12-17,82.6,70.5,85.6,67.8,8.8,22.7,2,2026-03-07
UTA,16-13,14-13-0,70.4,67.1,67.2,71.1,9.1,22.3,2,2026-03-07
UTAH,10-20,13-17-0,74.6,78.6,68.5,76.7,8.5,21.5,1,2026-03-07
UTECH,18-13,17-11-0,76.1,73.7,82.1,68.4,8.6,26.6,3,2026-03-07
UTEP,11-19,13-14-0,69.6,72.7,75.7,70.7,9.7,22.7,1,2026-03-07
UVA,26-4,15-15-0,81.0,68.1,83.8,63.6,11.9,24.6,4,2026-03-07
UVM,20-11,13-16-0,74.1,69.2,75.9,65.2,7.9,26.4,4,2026-03-07
UVU,23-7,13-14-0,80.5,67.7,76.4,77.8,9.7,21.3,5,2026-03-07
VAN,23-7,15-14-0,87.0,74.9,83.0,78.5,8.4,20.9,2,2026-03-07
VILL,23-7,18-12-0,77.1,70.3,79.8,68.6,9.9,19.1,3,2026-03-07
VT,19-11,18-12-0,78.7,74.2,76.0,78.2,7.2,23.0,2,2026-03-07
WAG,14-16,15-12-0,71.8,71.9,70.9,76.2,9.9,22.2,5,2026-03-07
WAKE,15-15,13-17-0,78.8,77.0,83.3,77.6,8.2,21.4,2,2026-03-07
WASH,15-15,18-12-0,76.7,72.7,72.8,74.2,9.8,22.2,3,2026-03-07
WCU,14-15,13-14-0,78.9,77.8,73.8,85.1,10.5,22.1,5,2026-03-07
WICH,20-10,19-10-0,77.9,70.5,78.1,64.3,12.6,24.8,5,2026-03-07
WIN,22-10,12-17,84.2,75.1,89.4,69.8,12.1,27.4,3,2026-03-07
WIS,21-9,17-13-0,82.8,75.0,80.7,81.8,9.4,22.2,3,2026-03-07
WKU,18-12,15-13-0,79.4,74.9,72.3,74.7,11.8,22.5,4,2026-03-07
WM,19-11,14-14-0,84.2,77.8,90.2,76.4,7.5,26.5,3,2026-03-07
WOF,19-12,15-14-0,79.0,77.2,78.4,73.8,9.3,22.8,2,2026-03-07
WYO,17-13,13-16-0,77.0,72.8,66.9,75.0,9.6,18.7,4,2026-03-07
XAV,14-16,15-15-0,78.4,79.7,74.6,84.3,8.2,21.9,1,2026-03-07
YALE,22-5,10-15,81.6,70.8,85.0,69.2,8.9,24.5,4,2026-03-07
